,,,問5(5).あなたは、友達にうそをつく／合計,いつもしている,ある程度している,あまりしていない,まったくしていない,不明
全体,,回答者数（人）,6658,236,916,3234,2272,110
全体,,構成比（％）,100.0,3.5,13.8,48.6,34.1,
小中高校生別×男女別,小学生-全体,回答者数（人）,2241,75,193,970,1003,53
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,3.3,8.6,43.3,44.8,
小中高校生別×男女別,小学生-男子,回答者数（人）,1154,44,134,559,417,28
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,3.8,11.6,48.4,36.1,
小中高校生別×男女別,小学生-女子,回答者数（人）,1087,31,59,411,586,25
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,2.9,5.4,37.8,53.9,
小中高校生別×男女別,中学生-全体,回答者数（人）,2483,87,373,1207,816,35
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,3.5,15.0,48.6,32.9,
小中高校生別×男女別,中学生-男子,回答者数（人）,1259,63,232,621,343,18
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,5.0,18.4,49.3,27.2,
小中高校生別×男女別,中学生-女子,回答者数（人）,1224,24,141,586,473,17
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,2.0,11.5,47.9,38.6,
小中高校生別×男女別,高校生-全体,回答者数（人）,1843,69,340,1010,424,19
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,3.7,18.4,54.8,23.0,
小中高校生別×男女別,高校生-男子,回答者数（人）,813,52,192,425,144,8
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,6.4,23.6,52.3,17.7,
小中高校生別×男女別,高校生-女子,回答者数（人）,1030,17,148,585,280,11
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,1.7,14.4,56.8,27.2,
