,n（人）,参加している（％）,以前、参加していた（％）,今も以前も参加していない（％）
全体,6240,29.3,35.5,35.2
男子全体,2954,34.9,32.8,32.2
小学生男子,1023,56.1,20.1,23.8
中学生男子,1151,32.7,35.5,31.8
高校生男子,780,10.5,45.5,44.0
女子全体,3202,24.0,38.2,37.8
小学生女子,1027,41.9,23.6,34.6
中学生女子,1181,24.6,40.1,35.4
高校生女子,994,4.9,51.1,44.0
