,n（人）,まったくない（％）,1回ある（％）,数回ある（％）,何度もある（％）
全体,6543,51.4,17.6,26.0,5.1
男子全体,3141,46.9,17.2,29.2,6.7
小学生男子,1105,52.0,19.6,24.0,4.3
中学生男子,1234,43.0,17.9,30.8,8.3
高校生男子,802,45.6,12.7,33.9,7.7
女子全体,3311,55.6,18.1,23.0,3.4
小学生女子,1079,68.2,19.4,11.2,1.2
中学生女子,1216,48.3,19.3,28.0,4.4
高校生女子,1016,51.0,15.2,29.5,4.3
