,n（人）,まったくない（％）,1回ある（％）,数回ある（％）,何度もある（％）
全体,6526,77.0,9.0,10.6,3.4
男子全体,3131,72.3,10.3,13.0,4.4
小学生男子,1100,77.1,10.9,9.6,2.4
中学生男子,1229,70.0,11.0,14.2,4.8
高校生男子,802,69.5,8.2,15.6,6.7
女子全体,3306,81.3,7.7,8.5,2.4
小学生女子,1076,90.3,6.9,2.3,0.5
中学生女子,1222,79.5,8.8,8.7,3.0
高校生女子,1008,74.0,7.3,15.0,3.7
