,n（人）,まったくない（％）,1回ある（％）,数回ある（％）,何度もある（％）
全体,6574,74.3,8.5,9.7,7.4
男子全体,3159,70.2,9.2,10.7,9.8
小学生男子,1111,73.3,10.7,9.3,6.8
中学生男子,1243,68.5,9.2,10.5,11.8
高校生男子,805,68.6,7.3,13.0,11.1
女子全体,3324,78.3,7.9,8.8,5.1
小学生女子,1082,81.8,8.4,6.8,3.0
中学生女子,1225,77.4,7.9,9.6,5.1
高校生女子,1017,75.6,7.4,9.7,7.3
