,n（人）,あてはまる（％）,少しあてはまる（％）,あまりあてはまらない（％）,あてはまらない（％）
全体,6697,5.1,26.9,41.3,26.6
男子全体,3235,7.0,28.9,40.5,23.6
小学生男子,1153,6.7,22.8,38.2,32.4
中学生男子,1265,7.6,31.1,39.1,22.2
高校生男子,817,6.6,34.0,46.1,13.2
女子全体,3369,3.3,24.9,42.4,29.3
小学生女子,1101,2.7,17.8,38.3,41.1
中学生女子,1230,3.6,25.0,44.3,27.2
高校生女子,1038,3.7,32.5,44.6,19.3
