,n（人）,気にならない（％）,あまり気にならない（％）,少し気になる（％）,気になる（％）
全体,2331,17.0,26.6,30.6,25.7
A地区,203,18.2,31.0,32.0,18.7
B地区,387,16.5,26.4,28.4,28.7
C地区,196,21.4,28.1,35.2,15.3
D地区,363,12.4,27.0,30.9,29.8
E地区,350,16.3,25.7,28.6,29.4
F地区,226,17.7,22.6,34.1,25.7
G地区,342,16.4,24.0,31.9,27.8
H地区,264,20.8,30.3,27.3,21.6
