,n（人）,いつもしている（％）,ある程度している（％）,あまりしていない（％）,まったくしていない（％）
全体,6721,24.6,56.5,16.8,2.2
男子全体,3249,25.9,54.5,16.7,2.9
小学生男子,1165,32.8,53.0,11.6,2.6
中学生男子,1268,24.8,53.9,17.7,3.5
高校生男子,816,17.8,57.6,22.2,2.5
女子全体,3381,23.2,58.4,16.9,1.5
小学生女子,1106,30.7,52.7,15.2,1.4
中学生女子,1236,21.8,58.4,17.9,1.9
高校生女子,1039,16.7,64.6,17.4,1.3
