,n（人）,気にならない（％）,あまり気にならない（％）,少し気になる（％）,気になる（％）
全体,2359,7.2,15.3,37.8,39.7
A地区,206,7.8,17.5,42.7,32.0
B地区,394,7.6,14.0,35.5,42.9
C地区,198,5.1,20.2,30.3,44.4
D地区,366,6.0,13.1,38.8,42.1
E地区,354,7.1,16.7,38.7,37.6
F地区,233,7.3,12.9,41.6,38.2
G地区,343,7.3,13.4,33.5,45.8
H地区,265,9.4,18.1,42.3,30.2
