,n（人）,まったくない（％）,1回ある（％）,数回ある（％）,何度もある（％）
全体,6567,65.8,15.8,14.5,4.0
男子全体,3156,60.6,17.1,16.9,5.4
小学生男子,1111,61.3,18.9,15.7,4.1
中学生男子,1241,58.4,17.8,18.0,5.7
高校生男子,804,62.8,13.7,16.7,6.8
女子全体,3320,70.9,14.4,12.0,2.6
小学生女子,1079,75.6,14.7,8.2,1.4
中学生女子,1224,68.6,13.8,14.1,3.4
高校生女子,1017,68.6,14.8,13.6,2.9
