,,,問8(5).集会や体育など整列しなくてはいけないときに、列に並ばない人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
全体,,回答者数（人）,6579,397,857,2274,3051,189
全体,,構成比（％）,100.0,6.0,13.0,34.6,46.4,
小中高校生別×男女別,小学生-全体,回答者数（人）,2200,107,194,643,1256,94
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,4.9,8.8,29.2,57.1,
小中高校生別×男女別,小学生-男子,回答者数（人）,1114,80,101,344,589,68
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,7.2,9.1,30.9,52.9,
小中高校生別×男女別,小学生-女子,回答者数（人）,1086,27,93,299,667,26
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,2.5,8.6,27.5,61.4,
小中高校生別×男女別,中学生-全体,回答者数（人）,2466,191,319,886,1070,52
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,7.7,12.9,35.9,43.4,
小中高校生別×男女別,中学生-男子,回答者数（人）,1242,126,181,429,506,35
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,10.1,14.6,34.5,40.7,
小中高校生別×男女別,中学生-女子,回答者数（人）,1224,65,138,457,564,17
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,5.3,11.3,37.3,46.1,
小中高校生別×男女別,高校生-全体,回答者数（人）,1823,93,332,726,672,39
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,5.1,18.2,39.8,36.9,
小中高校生別×男女別,高校生-男子,回答者数（人）,802,55,166,302,279,19
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,6.9,20.7,37.7,34.8,
小中高校生別×男女別,高校生-女子,回答者数（人）,1021,38,166,424,393,20
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,3.7,16.3,41.5,38.5,
