,,,問8(4).授業中、いすに座らずに立ち歩く人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
全体,,回答者数（人）,6568,503,848,1767,3450,200
全体,,構成比（％）,100.0,7.7,12.9,26.9,52.5,
小中高校生別×男女別,小学生-全体,回答者数（人）,2189,126,135,444,1484,105
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,5.8,6.2,20.3,67.8,
小中高校生別×男女別,小学生-男子,回答者数（人）,1108,90,79,238,701,74
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,8.1,7.1,21.5,63.3,
小中高校生別×男女別,小学生-女子,回答者数（人）,1081,36,56,206,783,31
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,3.3,5.2,19.1,72.4,
小中高校生別×男女別,中学生-全体,回答者数（人）,2464,240,378,711,1135,54
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,9.7,15.3,28.9,46.1,
小中高校生別×男女別,中学生-男子,回答者数（人）,1239,149,197,359,534,38
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,12.0,15.9,29.0,43.1,
小中高校生別×男女別,中学生-女子,回答者数（人）,1225,91,181,352,601,16
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,7.4,14.8,28.7,49.1,
小中高校生別×男女別,高校生-全体,回答者数（人）,1824,131,325,592,776,38
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,7.2,17.8,32.5,42.5,
小中高校生別×男女別,高校生-男子,回答者数（人）,805,71,147,247,340,16
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,8.8,18.3,30.7,42.2,
小中高校生別×男女別,高校生-女子,回答者数（人）,1019,60,178,345,436,22
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,5.9,17.5,33.9,42.8,
