,n（人）,気にならない（％）,あまり気にならない（％）,少し気になる（％）,気になる（％）
全体,2163,8.5,14.3,34.4,42.8
A地区,165,9.1,15.8,29.1,46.1
B地区,382,6.5,15.4,31.9,46.1
C地区,261,8.4,13.8,33.3,44.4
D地区,318,9.1,17.9,33.3,39.6
E地区,251,7.6,10.4,33.1,49.0
F地区,282,7.1,14.2,40.8,37.9
G地区,202,10.9,13.9,34.7,40.6
H地区,302,10.3,12.6,37.7,39.4
