地区名,,男女別／合計,男子,女子,不明
全体,回答者数（人）,6674,3280,3394,94
全体,構成比（％）,100.0,49.1,50.9,
A地区,回答者数（人）,392,200,192,6
A地区,構成比（％）,100.0,51.0,49.0,
B地区,回答者数（人）,801,420,381,9
B地区,構成比（％）,100.0,52.4,47.6,
C地区,回答者数（人）,488,241,247,6
C地区,構成比（％）,100.0,49.4,50.6,
D地区,回答者数（人）,971,489,482,15
D地区,構成比（％）,100.0,50.4,49.6,
E地区,回答者数（人）,863,430,433,11
E地区,構成比（％）,100.0,49.8,50.2,
F地区,回答者数（人）,521,249,272,13
F地区,構成比（％）,100.0,47.8,52.2,
G地区,回答者数（人）,734,387,347,8
G地区,構成比（％）,100.0,52.7,47.3,
H地区,回答者数（人）,645,299,346,12
H地区,構成比（％）,100.0,46.4,53.6,
その他,回答者数（人）,1219,537,682,9
その他,構成比（％）,100.0,44.1,55.9,
不明,回答者数（人）,40,28,12,5
不明,構成比（％）,100.0,70.0,30.0,
