,,,問4(2).名前を呼ばれているのに、きちんと返事をしない人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
全体,,回答者数（人）,6717,562,1241,2803,2111,51
全体,,構成比（％）,100.0,8.4,18.5,41.7,31.4,
小中高校生別×男女別,小学生-全体,回答者数（人）,2268,198,371,862,837,26
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,8.7,16.4,38.0,36.9,
小中高校生別×男女別,小学生-男子,回答者数（人）,1163,136,213,408,406,19
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,11.7,18.3,35.1,34.9,
小中高校生別×男女別,小学生-女子,回答者数（人）,1105,62,158,454,431,7
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,5.6,14.3,41.1,39.0,
小中高校生別×男女別,中学生-全体,回答者数（人）,2502,227,520,1049,706,16
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,9.1,20.8,41.9,28.2,
小中高校生別×男女別,中学生-男子,回答者数（人）,1266,160,301,479,326,11
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,12.6,23.8,37.8,25.8,
小中高校生別×男女別,中学生-女子,回答者数（人）,1236,67,219,570,380,5
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,5.4,17.7,46.1,30.7,
小中高校生別×男女別,高校生-全体,回答者数（人）,1856,130,333,858,535,6
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,7.0,17.9,46.2,28.8,
小中高校生別×男女別,高校生-男子,回答者数（人）,816,80,160,346,230,5
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,9.8,19.6,42.4,28.2,
小中高校生別×男女別,高校生-女子,回答者数（人）,1040,50,173,512,305,1
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,4.8,16.6,49.2,29.3,
