,n（人）,気にならない（％）,あまり気にならない（％）,少し気になる（％）,気になる（％）
全体,2331,8.2,10.3,30.6,50.9
A地区,204,14.7,13.2,32.4,39.7
B地区,387,5.4,8.5,27.4,58.7
C地区,196,8.7,9.7,36.2,45.4
D地区,363,4.1,10.2,32.8,52.9
E地区,350,10.3,12.0,32.6,45.1
F地区,225,8.4,7.6,31.1,52.9
G地区,342,6.1,10.5,26.6,56.7
H地区,264,12.5,10.6,29.2,47.7
