,n（人）,あてはまる（％）,少しあてはまる（％）,あまりあてはまらない（％）,あてはまらない（％）
全体,6709,8.5,25.1,37.9,28.5
男子全体,3244,9.0,24.9,37.7,28.4
小学生男子,1161,5.4,14.1,39.3,41.2
中学生男子,1266,10.5,26.9,37.1,25.4
高校生男子,817,11.6,37.1,36.5,14.8
女子全体,3373,7.8,25.3,38.4,28.5
小学生女子,1102,4.5,15.0,33.9,46.6
中学生女子,1233,9.3,24.6,40.3,25.8
高校生女子,1038,9.5,37.1,40.8,12.5
