,n（人）,いつもしている（％）,ある程度している（％）,あまりしていない（％）,まったくしていない（％）
全体,6706,54.4,40.8,4.1,0.7
男子全体,3244,53.3,40.7,4.9,1.1
小学生男子,1163,60.7,34.8,3.4,1.1
中学生男子,1265,52.2,40.9,5.8,1.2
高校生男子,816,44.5,48.9,5.6,1.0
女子全体,3371,55.4,40.9,3.4,0.3
小学生女子,1103,63.3,33.5,3.1,0.1
中学生女子,1233,52.3,43.2,3.8,0.6
高校生女子,1035,50.5,46.1,3.3,0.1
