,,,問9(4).授業中、いすに座らずに立ち歩いた／合計,まったくない,1回ある,数回ある,何度もある,不明
全体,,回答者数（人）,6526,5028,586,691,221,242
全体,,構成比（％）,100.0,77.0,9.0,10.6,3.4,
小中高校生別×男女別,小学生-全体,回答者数（人）,2176,1820,194,131,31,118
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,83.6,8.9,6.0,1.4,
小中高校生別×男女別,小学生-男子,回答者数（人）,1100,848,120,106,26,82
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,77.1,10.9,9.6,2.4,
小中高校生別×男女別,小学生-女子,回答者数（人）,1076,972,74,25,5,36
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,90.3,6.9,2.3,0.5,
小中高校生別×男女別,中学生-全体,回答者数（人）,2451,1831,243,281,96,67
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,74.7,9.9,11.5,3.9,
小中高校生別×男女別,中学生-男子,回答者数（人）,1229,860,135,175,59,48
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,70.0,11.0,14.2,4.8,
小中高校生別×男女別,中学生-女子,回答者数（人）,1222,971,108,106,37,19
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,79.5,8.8,8.7,3.0,
小中高校生別×男女別,高校生-全体,回答者数（人）,1810,1303,140,276,91,52
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,72.0,7.7,15.2,5.0,
小中高校生別×男女別,高校生-男子,回答者数（人）,802,557,66,125,54,19
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,69.5,8.2,15.6,6.7,
小中高校生別×男女別,高校生-女子,回答者数（人）,1008,746,74,151,37,33
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,74.0,7.3,15.0,3.7,
