,n（人）,気にならない（％）,あまり気にならない（％）,少し気になる（％）,気になる（％）
全体,2153,3.3,6.2,26.3,64.2
A地区,166,3.0,10.8,27.7,58.4
B地区,380,3.2,5.5,23.7,67.6
C地区,262,3.1,3.8,24.8,68.3
D地区,316,3.8,7.6,27.8,60.8
E地区,250,4.0,4.8,28.0,63.2
F地区,282,2.5,6.0,32.6,58.9
G地区,201,3.0,7.5,21.4,68.2
H地区,296,3.7,5.4,24.3,66.6
