,n（人）,参加している（％）,以前、参加していた（％）,今も以前も参加していない（％）
全体,1964,49.5,21.7,28.8
A地区,145,49.0,24.1,26.9
B地区,345,47.5,24.9,27.5
C地区,242,44.6,25.6,29.8
D地区,289,58.8,19.0,22.1
E地区,226,45.6,19.9,34.5
F地区,260,48.1,25.8,26.2
G地区,179,47.5,21.2,31.3
H地区,278,52.5,13.7,33.8
