,n（人）,気にならない（％）,あまり気にならない（％）,少し気になる（％）,気になる（％）
全体,2100,12.0,17.6,30.4,40.0
A地区,162,11.1,16.0,24.7,48.1
B地区,368,10.3,19.0,31.0,39.7
C地区,260,15.4,18.5,33.5,32.7
D地区,304,13.2,20.7,30.3,35.9
E地区,244,12.3,18.4,29.5,39.8
F地区,274,12.0,17.9,37.6,32.5
G地区,192,10.9,13.0,24.0,52.1
H地区,296,11.1,14.5,28.4,45.9
