,n（人）,気にならない（％）,あまり気にならない（％）,少し気になる（％）,気になる（％）
全体,2328,17.7,27.9,33.0,21.4
A地区,205,32.2,29.8,28.8,9.3
B地区,385,15.6,29.4,33.2,21.8
C地区,195,21.0,36.4,29.7,12.8
D地区,361,16.3,34.3,29.1,20.2
E地区,350,16.0,29.1,32.3,22.6
F地区,226,15.5,20.8,38.5,25.2
G地区,342,13.5,19.9,34.2,32.5
H地区,264,18.6,23.9,38.3,19.3
