,,,問11(7).それらの活動では、あなたは年上の人にめんどうをみてもらったことがある／合計,ない,あまりない,時々ある,何度もある,不明,非該当
全体,,回答者数（人）,4005,664,733,1067,1541,39,2724
全体,,構成比（％）,100.0,16.6,18.3,26.6,38.5,,
小中高校生別×男女別,小学生-全体,回答者数（人）,1428,279,309,360,480,24,842
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,19.5,21.6,25.2,33.6,,
小中高校生別×男女別,小学生-男子,回答者数（人）,762,146,163,196,257,18,402
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,19.2,21.4,25.7,33.7,,
小中高校生別×男女別,小学生-女子,回答者数（人）,666,133,146,164,223,6,440
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,20.0,21.9,24.6,33.5,,
小中高校生別×男女別,中学生-全体,回答者数（人）,1537,263,267,385,622,11,970
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,17.1,17.4,25.0,40.5,,
小中高校生別×男女別,中学生-男子,回答者数（人）,780,124,144,191,321,5,492
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,15.9,18.5,24.5,41.2,,
小中高校生別×男女別,中学生-女子,回答者数（人）,757,139,123,194,301,6,478
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,18.4,16.2,25.6,39.8,,
小中高校生別×男女別,高校生-全体,回答者数（人）,990,112,147,311,420,4,868
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,11.3,14.8,31.4,42.4,,
小中高校生別×男女別,高校生-男子,回答者数（人）,434,56,67,121,190,3,384
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,12.9,15.4,27.9,43.8,,
小中高校生別×男女別,高校生-女子,回答者数（人）,556,56,80,190,230,1,484
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,10.1,14.4,34.2,41.4,,
