,,平均値,標準偏差,挨拶言葉づかいに関する意識,友人や先生に対するあいさつと言葉づかい,（検定）,友人関係における問題行動,（検定）
小学5年生,挨拶言葉づかいに関する意識,3.21,0.64,－,-0.409,**,0.295,**
小学5年生,友人や先生に対するあいさつと言葉づかい,1.51,0.44,,－,,-0.230,**
小学5年生,友人関係における問題行動,3.21,0.66,,,,－,
中学2年生,挨拶言葉づかいに関する意識,3.03,0.67,－,-0.411,**,0.276,**
中学2年生,友人や先生に対するあいさつと言葉づかい,1.58,0.45,,－,,-0.164,**
中学2年生,友人関係における問題行動,3.01,0.68,,,,－,
高校2年生,挨拶言葉づかいに関する意識,3.05,0.59,－,-0.361,**,0.157,**
高校2年生,友人や先生に対するあいさつと言葉づかい,1.60,0.42,,－,,-0.092,**
高校2年生,友人関係における問題行動,2.97,0.63,,,,－,
注）**：p<0.01,,,,,,,,
