,n（人）,まったくない（％）,1回ある（％）,数回ある（％）,何度もある（％）
全体,6565,81.6,9.8,6.8,1.7
男子全体,3153,76.3,12.2,8.9,2.5
小学生男子,1110,73.0,15.5,9.8,1.7
中学生男子,1241,77.6,11.2,8.7,2.5
高校生男子,802,79.1,9.4,7.9,3.7
女子全体,3322,86.8,7.4,4.8,0.9
小学生女子,1083,88.5,8.4,3.0,0.2
中学生女子,1222,88.1,6.2,4.6,1.1
高校生女子,1017,83.7,7.9,7.1,1.4
