,n（人）,気にならない（％）,あまり気にならない（％）,少し気になる（％）,気になる（％）
全体,2328,7.6,12.7,35.7,44.0
A地区,205,9.8,13.2,38.0,39.0
B地区,386,6.0,14.5,32.6,46.9
C地区,196,9.2,12.2,42.9,35.7
D地区,363,5.5,16.0,36.9,41.6
E地区,348,6.9,11.8,34.8,46.6
F地区,226,6.2,8.4,38.1,47.3
G地区,342,7.6,9.4,33.3,49.7
H地区,262,12.2,14.9,33.6,39.3
