,n（人）,気にならない（％）,あまり気にならない（％）,少し気になる（％）,気になる（％）
全体,2367,6.8,12.3,33.9,47.0
A地区,207,10.1,15.9,32.4,41.5
B地区,393,5.3,13.7,30.8,50.1
C地区,199,8.5,15.1,28.6,47.7
D地区,368,4.1,9.2,33.7,53.0
E地区,355,7.6,12.7,36.9,42.8
F地区,233,5.2,11.6,39.5,43.8
G地区,345,7.8,7.5,30.7,53.9
H地区,267,8.2,15.7,39.0,37.1
