,n（人）,そう思う（％）,ややそう思う（％）,あまりそう思わない（％）,そう思わない（％）
全体,2017,36.6,44.3,16.5,2.6
A地区,151,39.7,41.7,13.9,4.6
B地区,353,45.3,40.8,11.6,2.3
C地区,253,27.7,48.2,21.3,2.8
D地区,306,30.4,48.4,19.0,2.3
E地区,231,39.4,44.6,12.1,3.9
F地区,256,30.9,51.6,15.2,2.3
G地区,188,45.2,33.5,20.2,1.1
H地区,279,35.8,42.3,19.4,2.5
