,n（人）,いつもしている（％）,ある程度している（％）,あまりしていない（％）,まったくしていない（％）
全体,6706,72.9,24.5,1.9,0.7
男子全体,3237,65.1,30.7,3.0,1.1
小学生男子,1154,65.7,29.8,3.3,1.2
中学生男子,1266,66.0,29.7,3.2,1.2
高校生男子,817,63.0,33.5,2.4,1.0
女子全体,3378,80.4,18.6,0.7,0.3
小学生女子,1106,82.0,16.6,1.0,0.4
中学生女子,1233,80.9,17.9,0.9,0.3
高校生女子,1039,78.2,21.4,0.3,0.2
