,n（人）,そう思う（％）,ややそう思う（％）,あまりそう思わない（％）,そう思わない（％）
全体,6245,29.7,47.9,18.4,4.0
男子全体,2982,27.7,46.9,19.9,5.5
小学生男子,1069,33.4,45.5,17.9,3.3
中学生男子,1148,25.7,44.1,22.0,8.3
高校生男子,765,22.6,53.1,19.7,4.6
女子全体,3185,31.6,48.9,16.9,2.6
小学生女子,1041,39.8,43.0,15.0,2.2
中学生女子,1158,25.7,50.3,21.2,2.8
高校生女子,986,29.8,53.5,13.9,2.7
