,n（人）,気にならない（％）,あまり気にならない（％）,少し気になる（％）,気になる（％）
全体,2331,9.5,15.4,32.8,42.3
A地区,204,11.3,18.6,33.8,36.3
B地区,388,9.0,17.3,32.7,41.0
C地区,196,10.7,18.4,36.2,34.7
D地区,363,7.7,17.6,30.9,43.8
E地区,350,6.9,13.1,31.7,48.3
F地区,225,8.9,10.2,37.3,43.6
G地区,341,10.6,12.9,30.5,46.0
H地区,264,13.3,15.2,32.6,39.0
