,n（人）,いつもしている（％）,ある程度している（％）,あまりしていない（％）,まったくしていない（％）
全体,6658,3.5,13.8,48.6,34.1
男子全体,3226,4.9,17.3,49.8,28.0
小学生男子,1154,3.8,11.6,48.4,36.1
中学生男子,1259,5.0,18.4,49.3,27.2
高校生男子,813,6.4,23.6,52.3,17.7
女子全体,3341,2.2,10.4,47.4,40.1
小学生女子,1087,2.9,5.4,37.8,53.9
中学生女子,1224,2.0,11.5,47.9,38.6
高校生女子,1030,1.7,14.4,56.8,27.2
