,,,問4(7).先生に対して、ていねいな言葉づかいをしない人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
全体,,回答者数（人）,6712,648,1379,2579,2106,56
全体,,構成比（％）,100.0,9.7,20.5,38.4,31.4,
小中高校生別×男女別,小学生-全体,回答者数（人）,2266,197,320,785,964,28
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,8.7,14.1,34.6,42.5,
小中高校生別×男女別,小学生-男子,回答者数（人）,1161,142,174,369,476,21
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,12.2,15.0,31.8,41.0,
小中高校生別×男女別,小学生-女子,回答者数（人）,1105,55,146,416,488,7
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,5.0,13.2,37.6,44.2,
小中高校生別×男女別,中学生-全体,回答者数（人）,2502,284,541,972,705,16
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,11.4,21.6,38.8,28.2,
小中高校生別×男女別,中学生-男子,回答者数（人）,1268,197,279,440,352,9
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,15.5,22.0,34.7,27.8,
小中高校生別×男女別,中学生-女子,回答者数（人）,1234,87,262,532,353,7
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,7.1,21.2,43.1,28.6,
小中高校生別×男女別,高校生-全体,回答者数（人）,1853,160,501,782,410,9
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,8.6,27.0,42.2,22.1,
小中高校生別×男女別,高校生-男子,回答者数（人）,816,82,234,301,199,5
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,10.0,28.7,36.9,24.4,
小中高校生別×男女別,高校生-女子,回答者数（人）,1037,78,267,481,211,4
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,7.5,25.7,46.4,20.3,
