,n（人）,気にならない（％）,あまり気にならない（％）,少し気になる（％）,気になる（％）
全体,2094,5.6,10.6,26.4,57.4
A地区,167,7.2,5.4,28.1,59.3
B地区,366,5.7,7.1,28.4,58.7
C地区,258,6.6,14.7,25.2,53.5
D地区,303,7.6,13.5,22.4,56.4
E地区,244,4.5,10.7,29.5,55.3
F地区,273,3.3,13.2,27.5,56.0
G地区,189,6.9,9.0,20.6,63.5
H地区,294,4.1,9.5,27.9,58.5
