,n（人）,気にならない（％）,あまり気にならない（％）,少し気になる（％）,気になる（％）
全体,2364,11.0,21.8,38.8,28.3
A地区,206,14.1,26.7,36.4,22.8
B地区,393,8.9,21.4,39.2,30.5
C地区,199,9.5,18.1,43.2,29.1
D地区,368,7.6,24.5,39.9,28.0
E地区,354,11.9,20.6,36.4,31.1
F地区,233,12.0,19.3,41.6,27.0
G地区,345,9.9,15.9,41.2,33.0
H地区,266,17.3,28.9,33.1,20.7
