,,,問15.あなたが困ったときに相談する相手はだれですか（複数回答）／合計,親,祖父母,兄弟姉妹,親せきの大人,学校の先生,塾や習い事の先生,友達
全体,,回答者数（人）,6210,4340,1010,1454,381,1483,544,4284
全体,,構成比（％）,100.0,69.9,16.3,23.4,6.1,23.9,8.8,69.0
小中高校生別×男女別,小学生-全体,回答者数（人）,2107,1723,530,575,182,762,225,1285
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,81.8,25.2,27.3,8.6,36.2,10.7,61.0
小中高校生別×男女別,小学生-男子,回答者数（人）,1062,880,241,249,95,379,116,541
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,82.9,22.7,23.4,8.9,35.7,10.9,50.9
小中高校生別×男女別,小学生-女子,回答者数（人）,1045,843,289,326,87,383,109,744
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,80.7,27.7,31.2,8.3,36.7,10.4,71.2
小中高校生別×男女別,中学生-全体,回答者数（人）,2284,1471,343,544,141,458,201,1662
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,64.4,15.0,23.8,6.2,20.1,8.8,72.8
小中高校生別×男女別,中学生-男子,回答者数（人）,1127,697,177,213,78,246,118,721
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,61.8,15.7,18.9,6.9,21.8,10.5,64.0
小中高校生別×男女別,中学生-女子,回答者数（人）,1157,774,166,331,63,212,83,941
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,66.9,14.3,28.6,5.4,18.3,7.2,81.3
小中高校生別×男女別,高校生-全体,回答者数（人）,1744,1086,125,313,52,244,107,1294
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,62.3,7.2,17.9,3.0,14.0,6.1,74.2
小中高校生別×男女別,高校生-男子,回答者数（人）,760,417,55,98,23,121,45,512
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,54.9,7.2,12.9,3.0,15.9,5.9,67.4
小中高校生別×男女別,高校生-女子,回答者数（人）,984,669,70,215,29,123,62,782
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,68.0,7.1,21.8,2.9,12.5,6.3,79.5
