,n（人）,気にならない（％）,あまり気にならない（％）,少し気になる（％）,気になる（％）
全体,6569,4.5,6.4,25.1,63.9
男子全体,3155,6.7,7.9,24.3,61.1
小学生男子,1112,5.4,4.6,17.5,72.5
中学生男子,1239,9.2,9.4,25.4,56.0
高校生男子,804,4.7,10.2,32.0,53.1
女子全体,3323,2.5,5.0,25.8,66.7
小学生女子,1082,2.3,3.0,15.5,79.1
中学生女子,1220,3.2,5.8,24.5,66.5
高校生女子,1021,1.8,6.2,38.1,54.0
