,n（人）,そう思う（％）,ややそう思う（％）,あまりそう思わない（％）,そう思わない（％）
全体,2029,48.0,37.4,11.0,3.7
A地区,153,43.8,34.6,12.4,9.2
B地区,357,56.3,31.9,9.0,2.8
C地区,254,41.7,40.6,12.2,5.5
D地区,306,41.8,42.2,12.7,3.3
E地区,233,47.6,39.1,8.6,4.7
F地区,256,41.8,43.4,12.5,2.3
G地区,188,51.1,38.3,8.0,2.7
H地区,282,55.7,30.1,12.4,1.8
