,n（人）,気にならない（％）,あまり気にならない（％）,少し気になる（％）,気になる（％）
全体,2098,4.8,8.9,28.9,57.4
A地区,167,6.6,4.8,18.6,70.1
B地区,365,3.6,7.1,28.8,60.5
C地区,259,7.3,10.0,30.9,51.7
D地区,305,6.9,10.5,29.2,53.4
E地区,243,2.5,9.9,31.3,56.4
F地区,273,3.3,13.9,30.0,52.7
G地区,190,4.2,6.8,31.1,57.9
H地区,296,4.4,6.8,28.4,60.5
