,n（人）,あてはまる（％）,少しあてはまる（％）,あまりあてはまらない（％）,あてはまらない（％）
全体,6687,28.9,31.3,23.1,16.8
男子全体,3232,29.2,30.4,23.3,17.1
小学生男子,1151,36.0,27.2,18.2,18.6
中学生男子,1267,29.1,30.6,22.8,17.4
高校生男子,814,19.8,34.5,31.1,14.6
女子全体,3362,28.5,32.2,22.8,16.5
小学生女子,1095,42.2,25.1,17.3,15.4
中学生女子,1230,27.2,32.6,22.9,17.3
高校生女子,1037,15.5,39.2,28.5,16.7
