,n（人）,気にならない（％）,あまり気にならない（％）,少し気になる（％）,気になる（％）
全体,6719,17.1,31.2,37.1,14.7
男子全体,3250,21.4,32.1,32.4,14.1
小学生男子,1165,20.3,26.9,36.0,16.8
中学生男子,1269,24.0,32.8,30.7,12.5
高校生男子,816,18.8,38.5,29.9,12.9
女子全体,3378,13.0,30.2,41.8,15.0
小学生女子,1105,11.2,24.1,46.1,18.6
中学生女子,1236,13.6,31.0,42.0,13.4
高校生女子,1037,14.2,35.8,36.9,13.1
