,n（人）,気にならない（％）,あまり気にならない（％）,少し気になる（％）,気になる（％）
全体,2358,4.4,6.6,28.8,60.3
A地区,206,5.3,5.3,33.0,56.3
B地区,393,3.6,7.1,27.7,61.6
C地区,198,2.5,10.1,22.2,65.2
D地区,365,3.3,6.6,28.5,61.6
E地区,355,4.2,6.8,28.5,60.6
F地区,233,4.7,6.9,34.3,54.1
G地区,343,5.2,4.4,25.4,65.0
H地区,265,6.4,6.8,32.1,54.7
