,n（人）,あてはまる（％）,少しあてはまる（％）,あまりあてはまらない（％）,あてはまらない（％）
全体,6617,7.6,23.2,34.5,34.8
男子全体,3200,8.5,23.3,33.1,35.1
小学生男子,1143,8.9,19.0,27.4,44.7
中学生男子,1245,10.6,25.3,31.1,33.0
高校生男子,812,4.6,26.4,44.2,24.9
女子全体,3324,6.7,23.3,35.8,34.3
小学生女子,1074,9.7,18.3,26.7,45.3
中学生女子,1216,7.0,27.4,35.9,29.8
高校生女子,1034,3.2,23.5,45.1,28.2
