,n（人）,気にならない（％）,あまり気にならない（％）,少し気になる（％）,気になる（％）
全体,6584,14.8,25.7,31.3,28.2
男子全体,3162,17.5,25.1,28.9,28.4
小学生男子,1115,15.9,17.7,28.1,38.4
中学生男子,1242,20.5,26.7,27.7,25.2
高校生男子,805,15.3,33.2,31.9,19.6
女子全体,3331,12.1,26.2,33.9,27.8
小学生女子,1085,8.8,17.0,33.2,41.1
中学生女子,1225,14.0,27.4,33.3,25.2
高校生女子,1021,13.2,34.7,35.5,16.7
