,n（人）,あてはまる（％）,少しあてはまる（％）,あまりあてはまらない（％）,あてはまらない（％）
全体,6698,3.5,14.2,52.0,30.3
男子全体,3233,5.4,16.6,50.5,27.5
小学生男子,1151,4.7,12.9,44.0,38.5
中学生男子,1265,6.2,19.9,48.5,25.3
高校生男子,817,4.9,16.8,62.9,15.4
女子全体,3372,1.7,11.7,53.6,33.0
小学生女子,1101,1.8,9.5,41.8,46.9
中学生女子,1233,1.9,11.7,53.9,32.5
高校生女子,1038,1.5,14.0,65.6,18.9
