,,,問5(3).あなたは、友達から何かをしてもらったら、感謝の言葉を言う／合計,いつもしている,ある程度している,あまりしていない,まったくしていない,不明
全体,,回答者数（人）,6706,4890,1642,126,48,62
全体,,構成比（％）,100.0,72.9,24.5,1.9,0.7,
小中高校生別×男女別,小学生-全体,回答者数（人）,2260,1665,528,49,18,34
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,73.7,23.4,2.2,0.8,
小中高校生別×男女別,小学生-男子,回答者数（人）,1154,758,344,38,14,28
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,65.7,29.8,3.3,1.2,
小中高校生別×男女別,小学生-女子,回答者数（人）,1106,907,184,11,4,6
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,82.0,16.6,1.0,0.4,
小中高校生別×男女別,中学生-全体,回答者数（人）,2499,1832,597,51,19,19
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,73.3,23.9,2.0,0.8,
小中高校生別×男女別,中学生-男子,回答者数（人）,1266,835,376,40,15,11
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,66.0,29.7,3.2,1.2,
小中高校生別×男女別,中学生-女子,回答者数（人）,1233,997,221,11,4,8
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,80.9,17.9,0.9,0.3,
小中高校生別×男女別,高校生-全体,回答者数（人）,1856,1327,496,23,10,6
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,71.5,26.7,1.2,0.5,
小中高校生別×男女別,高校生-男子,回答者数（人）,817,515,274,20,8,4
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,63.0,33.5,2.4,1.0,
小中高校生別×男女別,高校生-女子,回答者数（人）,1039,812,222,3,2,2
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,78.2,21.4,0.3,0.2,
