,n（人）,気にならない（％）,あまり気にならない（％）,少し気になる（％）,気になる（％）
全体,6715,5.2,9.6,33.6,51.6
男子全体,3246,8.0,12.7,34.5,44.8
小学生男子,1163,8.9,11.9,31.1,48.1
中学生男子,1266,8.7,13.9,34.5,42.9
高校生男子,817,5.5,12.1,39.4,43.0
女子全体,3378,2.6,6.4,32.9,58.1
小学生女子,1105,2.8,7.5,29.0,60.6
中学生女子,1234,2.8,6.6,34.7,55.9
高校生女子,1039,2.2,4.9,34.9,57.9
