,n（人）,気にならない（％）,あまり気にならない（％）,少し気になる（％）,気になる（％）
全体,2090,5.5,6.2,20.2,68.1
A地区,166,6.6,5.4,18.7,69.3
B地区,365,4.4,7.1,21.1,67.4
C地区,256,8.6,6.3,15.6,69.5
D地区,305,7.2,7.2,22.0,63.6
E地区,240,5.0,4.6,15.4,75.0
F地区,273,2.9,6.2,26.0,64.8
G地区,191,6.8,6.3,19.4,67.5
H地区,294,3.7,5.8,21.1,69.4
