,n（人）,気にならない（％）,あまり気にならない（％）,少し気になる（％）,気になる（％）
全体,6578,7.7,17.2,34.2,40.9
男子全体,3157,10.4,18.6,33.1,37.9
小学生男子,1109,8.5,11.8,28.8,50.9
中学生男子,1244,12.5,19.2,32.8,35.5
高校生男子,804,9.7,27.1,39.4,23.8
女子全体,3330,5.2,16.0,35.2,43.5
小学生女子,1085,3.2,8.9,25.3,62.6
中学生女子,1225,6.4,16.5,38.3,38.9
高校生女子,1020,6.0,23.0,42.2,28.8
