,n（人）,まったくない（％）,1回ある（％）,数回ある（％）,何度もある（％）
全体,6565,81.1,8.3,8.0,2.6
男子全体,3153,74.3,11.1,10.8,3.7
小学生男子,1108,82.3,10.2,6.1,1.4
中学生男子,1243,70.6,12.7,12.1,4.6
高校生男子,802,69.2,9.7,15.3,5.7
女子全体,3322,87.7,5.6,5.4,1.3
小学生女子,1081,89.8,7.2,2.4,0.6
中学生女子,1221,85.5,5.1,7.5,2.0
高校生女子,1020,87.9,4.4,6.3,1.4
