,n（人）,気にならない（％）,あまり気にならない（％）,少し気になる（％）,気になる（％）
全体,2093,3.8,3.8,16.9,75.5
A地区,166,5.4,4.8,18.1,71.7
B地区,367,4.4,3.8,18.5,73.3
C地区,258,5.8,2.3,13.2,78.7
D地区,301,3.0,5.6,15.6,75.7
E地区,242,2.1,3.3,15.3,79.3
F地区,273,3.7,4.8,20.5,71.1
G地区,191,2.1,4.2,17.8,75.9
H地区,295,4.1,1.7,15.9,78.3
