地区名,,地元居住者・地元以外居住者／合計,地元居住,地元以外居住者,不明
全体,回答者数（人）,6723,5161,1562,45
全体,構成比（％）,100.0,76.8,23.2,
A地区,回答者数（人）,398,390,8,0
A地区,構成比（％）,100.0,98.0,2.0,
B地区,回答者数（人）,810,808,2,0
B地区,構成比（％）,100.0,99.8,0.2,
C地区,回答者数（人）,494,470,24,0
C地区,構成比（％）,100.0,95.1,4.9,
D地区,回答者数（人）,986,771,215,0
D地区,構成比（％）,100.0,78.2,21.8,
E地区,回答者数（人）,874,819,55,0
E地区,構成比（％）,100.0,93.7,6.3,
F地区,回答者数（人）,534,531,3,0
F地区,構成比（％）,100.0,99.4,0.6,
G地区,回答者数（人）,742,718,24,0
G地区,構成比（％）,100.0,96.8,3.2,
H地区,回答者数（人）,657,654,3,0
H地区,構成比（％）,100.0,99.5,0.5,
その他,回答者数（人）,1228,0,1228,0
その他,構成比（％）,100.0,0.0,100.0,
不明,回答者数（人）,0,0,0,45
不明,構成比（％）,0.0,0.0,0.0,
