,n（人）,あてはまる（％）,少しあてはまる（％）,あまりあてはまらない（％）,あてはまらない（％）
全体,6603,2.4,7.3,35.4,54.9
男子全体,3190,3.5,9.2,38.4,48.8
小学生男子,1132,2.1,4.6,29.1,64.2
中学生男子,1248,4.2,11.1,40.0,44.8
高校生男子,810,4.6,12.8,49.1,33.5
女子全体,3321,1.4,5.3,32.6,60.8
小学生女子,1072,1.0,2.7,18.5,77.8
中学生女子,1218,1.6,6.3,32.3,59.8
高校生女子,1031,1.5,6.8,47.4,44.3
