,,,問11(2).それらの活動では、あなたはやっていて楽しかったことがある／合計,ない,あまりない,時々ある,何度もある,不明,非該当
全体,,回答者数（人）,4009,166,338,1273,2232,35,2724
全体,,構成比（％）,100.0,4.1,8.4,31.8,55.7,,
小中高校生別×男女別,小学生-全体,回答者数（人）,1432,50,83,336,963,20,842
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,3.5,5.8,23.5,67.2,,
小中高校生別×男女別,小学生-男子,回答者数（人）,765,27,51,172,515,15,402
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,3.5,6.7,22.5,67.3,,
小中高校生別×男女別,小学生-女子,回答者数（人）,667,23,32,164,448,5,440
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,3.4,4.8,24.6,67.2,,
小中高校生別×男女別,中学生-全体,回答者数（人）,1538,75,139,543,781,10,970
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,4.9,9.0,35.3,50.8,,
小中高校生別×男女別,中学生-男子,回答者数（人）,780,49,79,257,395,5,492
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,6.3,10.1,32.9,50.6,,
小中高校生別×男女別,中学生-女子,回答者数（人）,758,26,60,286,386,5,478
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,3.4,7.9,37.7,50.9,,
小中高校生別×男女別,高校生-全体,回答者数（人）,989,36,111,383,459,5,868
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,3.6,11.2,38.7,46.4,,
小中高校生別×男女別,高校生-男子,回答者数（人）,434,22,57,148,207,3,384
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,5.1,13.1,34.1,47.7,,
小中高校生別×男女別,高校生-女子,回答者数（人）,555,14,54,235,252,2,484
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,2.5,9.7,42.3,45.4,,
