,n（人）,親（％）,友達（％）,学校の先生（％）,祖父母（％）,先輩（％）,芸能人やスポーツ選手（％）,塾や習い事の先生（％）,兄弟姉妹（％）,マンガやアニメのキャラクター（％）,地域の大人（％）,親せきの大人（％）,その他（％）
全体,2151,66.4,50.3,39.8,34.0,30.5,29.5,21.5,20.7,18.5,15.8,15.3,4.7
A地区,190,67.4,42.6,33.7,39.5,30.0,28.9,16.3,16.8,18.4,17.4,14.7,4.7
B地区,355,66.2,43.7,37.5,26.8,31.0,29.0,23.1,18.3,18.9,14.1,15.8,5.4
C地区,174,67.8,44.3,42.0,33.9,21.8,22.4,17.8,19.5,21.3,9.8,7.5,0.6
D地区,336,67.6,56.8,38.1,41.1,33.0,29.2,20.5,26.2,22.3,18.8,17.3,6.8
E地区,324,65.4,57.4,40.7,36.7,31.2,32.7,25.9,16.7,17.3,14.5,15.1,4.0
F地区,210,65.7,54.3,41.4,27.1,29.0,33.8,20.0,23.8,17.1,11.0,15.2,5.2
G地区,317,67.8,50.2,43.2,36.0,32.2,32.5,22.1,21.5,16.7,18.9,17.4,6.3
H地区,245,63.3,49.0,41.6,30.2,30.6,24.5,21.6,22.0,15.5,19.2,15.5,2.4
