,,,問6(7).周(まわ)りから変な人と思われないように気をつけている／合計,あてはまる,少しあてはまる,あまりあてはまらない,あてはまらない,不明
全体,,回答者数（人）,6687,1931,2092,1542,1122,81
全体,,構成比（％）,100.0,28.9,31.3,23.1,16.8,
小中高校生別×男女別,小学生-全体,回答者数（人）,2246,876,588,399,383,48
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,39.0,26.2,17.8,17.1,
小中高校生別×男女別,小学生-男子,回答者数（人）,1151,414,313,210,214,31
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,36.0,27.2,18.2,18.6,
小中高校生別×男女別,小学生-女子,回答者数（人）,1095,462,275,189,169,17
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,42.2,25.1,17.3,15.4,
小中高校生別×男女別,中学生-全体,回答者数（人）,2497,703,789,571,434,21
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,28.2,31.6,22.9,17.4,
小中高校生別×男女別,中学生-男子,回答者数（人）,1267,369,388,289,221,10
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,29.1,30.6,22.8,17.4,
小中高校生別×男女別,中学生-女子,回答者数（人）,1230,334,401,282,213,11
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,27.2,32.6,22.9,17.3,
小中高校生別×男女別,高校生-全体,回答者数（人）,1851,322,688,549,292,11
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,17.4,37.2,29.7,15.8,
小中高校生別×男女別,高校生-男子,回答者数（人）,814,161,281,253,119,7
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,19.8,34.5,31.1,14.6,
小中高校生別×男女別,高校生-女子,回答者数（人）,1037,161,407,296,173,4
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,15.5,39.2,28.5,16.7,
