因子,項目,α,尺度得点
挨拶言葉づかいに関する意識,,0.85,
,(6)友達に迷惑をかけたときに、謝らない人がいたら,,0.76
,(3)友達から何かをしてもらったのに、感謝の言葉を言わない人がいたら,,0.72
,(5)友達にうそをつく人がいたら,,0.72
,(4)友達の悪口を言う人がいたら,,0.70
,(2)名前を呼ばれているのに、きちんと返事をしない人がいたら,,0.69
,(7)先生に対して、ていねいな言葉づかいをしない人がいたら,,0.61
,(1)はきはきとした気持ちのよいあいさつをしない人がいたら,,0.55
