,n（人）,ない（％）,あまりない（％）,時々ある（％）,何度もある（％）
全体,4008,8.1,18.0,33.6,40.3
男子全体,1980,8.8,15.6,31.3,44.3
小学生男子,765,6.8,15.3,30.8,47.1
中学生男子,781,10.9,14.2,31.1,43.8
高校生男子,434,8.8,18.4,32.5,40.3
女子全体,1978,7.3,20.5,35.6,36.6
小学生女子,665,7.5,18.2,31.7,42.6
中学生女子,757,8.2,21.4,35.3,35.1
高校生女子,556,5.8,21.9,40.8,31.5
