,n（人）,いつもしている（％）,ある程度している（％）,あまりしていない（％）,まったくしていない（％）
全体,6718,45.5,43.6,8.7,2.2
男子全体,3249,46.5,41.3,9.4,2.8
小学生男子,1164,48.5,38.8,9.8,2.9
中学生男子,1268,46.8,40.0,10.0,3.2
高校生男子,817,43.3,46.9,7.8,2.0
女子全体,3378,44.5,45.9,8.0,1.6
小学生女子,1103,54.4,37.1,6.5,2.0
中学生女子,1236,43.4,46.2,8.3,2.0
高校生女子,1039,35.1,55.0,9.2,0.7
