,,,問8(7).夜、無灯火のままで自転車に乗る人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
全体,,回答者数（人）,6581,1229,1809,1890,1653,187
全体,,構成比（％）,100.0,18.7,27.5,28.7,25.1,
小中高校生別×男女別,小学生-全体,回答者数（人）,2203,323,468,647,765,91
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,14.7,21.2,29.4,34.7,
小中高校生別×男女別,小学生-男子,回答者数（人）,1118,209,231,302,376,64
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,18.7,20.7,27.0,33.6,
小中高校生別×男女別,小学生-女子,回答者数（人）,1085,114,237,345,389,27
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,10.5,21.8,31.8,35.9,
小中高校生別×男女別,中学生-全体,回答者数（人）,2466,518,743,709,496,52
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,21.0,30.1,28.8,20.1,
小中高校生別×男女別,中学生-男子,回答者数（人）,1241,329,353,320,239,36
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,26.5,28.4,25.8,19.3,
小中高校生別×男女別,中学生-女子,回答者数（人）,1225,189,390,389,257,16
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,15.4,31.8,31.8,21.0,
小中高校生別×男女別,高校生-全体,回答者数（人）,1822,371,571,516,364,40
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,20.4,31.3,28.3,20.0,
小中高校生別×男女別,高校生-男子,回答者数（人）,802,198,251,182,171,19
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,24.7,31.3,22.7,21.3,
小中高校生別×男女別,高校生-女子,回答者数（人）,1020,173,320,334,193,21
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,17.0,31.4,32.7,18.9,
