,,,問8(8).決められた場所以外に自転車を置く人がいたら／合計,気にならない,あまり気にならない,少し気になる,気になる,不明
全体,,回答者数（人）,6574,966,1749,2175,1684,194
全体,,構成比（％）,100.0,14.7,26.6,33.1,25.6,
小中高校生別×男女別,小学生-全体,回答者数（人）,2193,205,384,743,861,101
小中高校生別×男女別,小学生-全体,構成比（％）,100.0,9.3,17.5,33.9,39.3,
小中高校生別×男女別,小学生-男子,回答者数（人）,1116,131,196,362,427,66
小中高校生別×男女別,小学生-男子,構成比（％）,100.0,11.7,17.6,32.4,38.3,
小中高校生別×男女別,小学生-女子,回答者数（人）,1077,74,188,381,434,35
小中高校生別×男女別,小学生-女子,構成比（％）,100.0,6.9,17.5,35.4,40.3,
小中高校生別×男女別,中学生-全体,回答者数（人）,2465,445,691,813,516,53
小中高校生別×男女別,中学生-全体,構成比（％）,100.0,18.1,28.0,33.0,20.9,
小中高校生別×男女別,中学生-男子,回答者数（人）,1240,283,346,346,265,37
小中高校生別×男女別,中学生-男子,構成比（％）,100.0,22.8,27.9,27.9,21.4,
小中高校生別×男女別,中学生-女子,回答者数（人）,1225,162,345,467,251,16
小中高校生別×男女別,中学生-女子,構成比（％）,100.0,13.2,28.2,38.1,20.5,
小中高校生別×男女別,高校生-全体,回答者数（人）,1825,299,646,599,281,37
小中高校生別×男女別,高校生-全体,構成比（％）,100.0,16.4,35.4,32.8,15.4,
小中高校生別×男女別,高校生-男子,回答者数（人）,804,159,292,231,122,17
小中高校生別×男女別,高校生-男子,構成比（％）,100.0,19.8,36.3,28.7,15.2,
小中高校生別×男女別,高校生-女子,回答者数（人）,1021,140,354,368,159,20
小中高校生別×男女別,高校生-女子,構成比（％）,100.0,13.7,34.7,36.0,15.6,
