,n（人）,気にならない（％）,あまり気にならない（％）,少し気になる（％）,気になる（％）
全体,2362,5.4,10.3,34.4,49.9
A地区,207,4.8,10.1,39.1,45.9
B地区,393,6.4,10.9,32.6,50.1
C地区,198,5.1,10.6,32.8,51.5
D地区,368,3.0,10.9,36.4,49.7
E地区,353,4.5,13.3,34.6,47.6
F地区,233,6.0,8.2,38.6,47.2
G地区,345,5.5,7.8,29.9,56.8
H地区,265,8.3,9.8,34.0,47.9
