,n（人）,あてはまる（％）,少しあてはまる（％）,あまりあてはまらない（％）,あてはまらない（％）
全体,6672,25.0,26.8,29.7,18.5
男子全体,3223,22.6,24.7,31.8,20.9
小学生男子,1147,30.0,22.8,24.7,22.6
中学生男子,1263,20.8,24.5,32.8,21.9
高校生男子,813,15.1,27.7,40.3,16.9
女子全体,3356,26.8,29.1,27.9,16.2
小学生女子,1089,42.0,22.8,19.1,16.2
中学生女子,1229,23.2,29.9,30.0,16.8
高校生女子,1038,15.1,34.7,34.8,15.4
